strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
UK_P2|MT903344.1|2018-09	MT903344.1	2018-09	United Kingdom	Great Britain	197233	Homo sapiens			UK_P2	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A.1
UK_P3|MT903345.1|2018-09	MT903345.1	2018-09	United Kingdom	Great Britain	197205	Homo sapiens			UK_P3	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A.1
2091|OL504741.1|2019-12	OL504741.1	2019-12	United Kingdom		186582				2091	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.		A.1
2095|OL504742.1|2019-12	OL504742.1	2019-12	United Kingdom		186995				2095	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.		A.1
2102|OL504743.1|2019-12	OL504743.1	2019-12	United Kingdom		187077				2102	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.		A.1
USA_2022_MA001|ON563414.3|2022-05	ON563414.3	2022-05	USA	MA	197205	Homo sapiens	PRJNA849962	SAMN30616464	USA_2022_MA001	Gigante,C.M., Smole,S., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Brown,C., Li,Y.		B.1
BY-IMB25241|ON568298.1|2022-05-19	ON568298.1	2022-05-19	Germany		197378	Homo sapiens			BY-IMB25241	Antwerpen,M.H., Lang,D., Zange,S., Walter,M.C., Woelfel,R.		B.1
PT0001/2022|ON585029.1|2022-05-04	ON585029.1	2022-05-04	Portugal		197068	Homo sapiens			PT0001/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0002/2022|ON585030.1|2022-05-15	ON585030.1	2022-05-15	Portugal		197208	Homo sapiens			PT0002/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0003/2022|ON585031.1|2022-05-15	ON585031.1	2022-05-15	Portugal		197208	Homo sapiens			PT0003/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0004/2022|ON585032.1|2022-05-17	ON585032.1	2022-05-17	Portugal		197211	Homo sapiens			PT0004/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0006/2022|ON585033.1|2022-05-15	ON585033.1	2022-05-15	Portugal		197220	Homo sapiens			PT0006/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0007/2022|ON585034.1|2022-05-15	ON585034.1	2022-05-15	Portugal		197208	Homo sapiens			PT0007/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0009/2022|ON585035.1|2022-05-15	ON585035.1	2022-05-15	Portugal		197220	Homo sapiens			PT0009/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0010/2022|ON585036.1|2022-05-15	ON585036.1	2022-05-15	Portugal		197198	Homo sapiens			PT0010/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1
PT0005/2022|ON585037.1|2022-05-15	ON585037.1	2022-05-15	Portugal		196295	Homo sapiens			PT0005/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1.9
PT0008/2022|ON585038.1|2022-05-15	ON585038.1	2022-05-15	Portugal		196305	Homo sapiens			PT0008/2022	Borges,V., Duque,M.P., Martins,J.V., Vasconcelos,P., Ferreira,R., Sobral,D., Pelerito,A., de Carvalho,I.L., Nuncio,M.S., Borrego,M.J., Roemer,C., Neher,R.A., O'Driscoll,M., Rocha,R., Lopo,S., Neves,R., Palminha,P., Coelho,L., Nunes,A., Isidro,J., Pinto,M., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Martins,F., Machado,J., Verissimo,V.C., Grau,B., Peralta-Santos,A., Neves,J., Caldeira,M., Pestana,M., Fernandes,C., Caria,J., Pinto,R., Povoas,D., Maltez,F., Sa,A.I., Salvador,M.B., Teofilo,E., Rocha,M., Moneti,V., Duque,L.M., E Silva,F.F., Baptista,T., Vasconcelos,J., Casanova,S., Mansinho,K., Alves,J.V., Alves,J., Silva,A., Alpalhao,M., Brazao,C., Sousa,D., Filipe,P., Pacheco,P., Peruzzu,F., de Jesus,R.P., Ferreira,L., Mendez,J., Jordao,S., Duarte,F., Goncalves,M.J., Pena,E., Silva,C.N., Guimaraes,A.R., Tavares,M., Freitas,G., Cordeiro,R., Gomes,J.P., Nuncio,S.	37696933	B.1.9
CH-38134631/2022|ON595760.2|2022-05-19	ON595760.2	2022-05-19	Switzerland		197056	Homo sapiens			CH-38134631/2022	Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A.		B.1
FRA_2022_TLS67|ON602722.2|2022-05	ON602722.2	2022-05	France		197103	Homo sapiens			FRA_2022_TLS67	Croville,G., Walch,M., Guerin,J.-L., Rousset,S., Mansuy,J.-M., Pasquier,C., Izopet,J.		B.1.10
SLO|ON609725.2|2022-05-23	ON609725.2	2022-05-23	Slovenia		197520	Homo sapiens			SLO	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Skubic,C., Rozman,D., Korva,M., Poljak,M., Avsic Zupanc,T.		B.1.3
INMI-Pt1|ON614676.1|2022-05-18	ON614676.1	2022-05-18	Italy		190289	Homo sapiens			INMI-Pt1	Gruber,C.E.M., Rueca,M., Gramigna,G., Carletti,F., Butera,O., Fabeni,L., Specchiarello,E., Meschi,S., Colavita,F., Minosse,C., Francalancia,M., Lapa,D., Garbuglia,A.R., Giombini,E.		B.1
2022_NL001|ON615424.1|2022-05	ON615424.1	2022-05	Netherlands		196526	Homo sapiens			2022_NL001	Oude Munnink,B.B., Boter,M., Wellers,B., Molenkamp,R., Sikkema,R.S., Koopmans,M.		B.1
UK_2022_1|ON619835.2|2022-05	ON619835.2	2022-05	United Kingdom		197205	Homo sapiens			UK_2022_1	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.		B.1
UK_2022_2|ON619836.2|2022-05	ON619836.2	2022-05	United Kingdom		197205	Homo sapiens			UK_2022_2	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.		B.1
UK_2022_3|ON619837.2|2022-05	ON619837.2	2022-05	United Kingdom		197181	Homo sapiens			UK_2022_3	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.		B.1
UK_2022_4|ON619838.2|2022-05	ON619838.2	2022-05	United Kingdom		197205	Homo sapiens			UK_2022_4	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.		B.1
UZ_REGA_1/Belgium/2022|ON622712.1|2022-05-19	ON622712.1	2022-05-19	Belgium		198010	Homo sapiens			UZ_REGA_1/Belgium/2022	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.		B.1
UZ_REGA_2/Belgium/2022|ON622713.1|2022-05-22	ON622713.1	2022-05-22	Belgium		198016	Homo sapiens			UZ_REGA_2/Belgium/2022	Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.		B.1
ES0001/HUGTiP/2022|ON622718.1|2022-05-20	ON622718.1	2022-05-20	Spain		196436	Homo sapiens			ES0001/HUGTiP/2022	Martinez-Puchol,S., Coello,A., Bordoy,A.E., Soler,L., Panisello,D., Gonzalez-Gomez,S., Clara,G., Paris de Leon,A., Not,A., Hernandez,A., Bofill-Mas,S., Saludes,V., Blanco,I., Martro,E., Cardona,P.-J.		B.1.8
CH-38156923/2022|ON622720.2|2022-05-24	ON622720.2	2022-05-24	Switzerland		197205	Homo sapiens			CH-38156923/2022	Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.		B.1
1_IT_Milan_2022|ON622721.1|2022-05-25	ON622721.1	2022-05-25	Italy		196878	Homo sapiens			1_IT_Milan_2022	Lai,A., Bergna,A., Della Ventura,C., Tarkowski,M., Riva,A., Moschese,D., Rizzardini,G., Antinori,S., Zehender,G.		B.1
FR_HCL0001_2022|ON622722.2|2022-05-22	ON622722.2	2022-05-22	France		197120	Homo sapiens			FR_HCL0001_2022			B.1.3
USA/UT-UPHL-82200022/2022|ON627808.1|2022-05-20	ON627808.1	2022-05-20	USA		197114	Homo sapiens	PRJNA843095	SAMN28702425	USA/UT-UPHL-82200022/2022	Young,E.L., Hergert,J., Oakeson,K.F.		B.1
2022/2_SLO|ON631241.1|2022-05-24	ON631241.1	2022-05-24	Slovenia		197520	Homo sapiens			2022/2 SLO	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.		B.1
VIDRL01/2022|ON631963.1|2022-05	ON631963.1	2022-05	Australia		197443	Homo sapiens			VIDRL01/2022	Hammerschlag,Y., MacLeod,G., Papadakis,G., Adnan Sanchez,A., Druce,J., Savic,I., Taiaroa,G., Roberts,J., Caly,L., Williamson,D.A., Cheng,A.C., McMahon,J.H.		B.1
Germany/2022/RKI01|ON637938.1|2022-05	ON637938.1	2022-05	Germany		197131	Homo sapiens			Germany/2022/RKI01	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.		B.1.1
Germany/2022/RKI02|ON637939.1|2022-05	ON637939.1	2022-05	Germany		197131	Homo sapiens			Germany/2022/RKI02	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.		B.1.7
FVG-ITA_01_2022|ON644344.1|2022-05-25	ON644344.1	2022-05-25	Italy	FVG,Gorizia	197417	Homo sapiens			FVG-ITA_01_2022	Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P.		B.1
GSTT_Patient1|ON645312.1|2022-05-11	ON645312.1	2022-05-11	United Kingdom		184777	Homo sapiens			GSTT_Patient1	Alcolea-Medina,A., Charalampous,T., Snell,L.B., Batra,R., Edgeworth,J.D.		B.1
PT0023/2022|ON649708.1|2022-05-19	ON649708.1	2022-05-19	Portugal		197198	Homo sapiens			PT0023/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0028/2022|ON649709.1|2022-05-18	ON649709.1	2022-05-18	Portugal		197204	Homo sapiens			PT0028/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0027/2022|ON649710.1|2022-05-18	ON649710.1	2022-05-18	Portugal		197198	Homo sapiens			PT0027/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0026/2022|ON649711.1|2022-05-18	ON649711.1	2022-05-18	Portugal		197185	Homo sapiens			PT0026/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0025/2022|ON649712.1|2022-05-19	ON649712.1	2022-05-19	Portugal		197198	Homo sapiens			PT0025/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0020/2022|ON649713.1|2022-05-19	ON649713.1	2022-05-19	Portugal		196291	Homo sapiens			PT0020/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1.9
PT0015/2022|ON649714.1|2022-05-20	ON649714.1	2022-05-20	Portugal		197193	Homo sapiens			PT0015/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0017/2022|ON649715.1|2022-05-20	ON649715.1	2022-05-20	Portugal		197191	Homo sapiens			PT0017/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0016/2022|ON649716.1|2022-05-23	ON649716.1	2022-05-23	Portugal		197193	Homo sapiens			PT0016/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0019/2022|ON649717.1|2022-05-21	ON649717.1	2022-05-21	Portugal		197198	Homo sapiens			PT0019/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0018/2022|ON649718.1|2022-05-20	ON649718.1	2022-05-20	Portugal		197204	Homo sapiens			PT0018/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0012/2022|ON649719.1|2022-05-23	ON649719.1	2022-05-23	Portugal		197204	Homo sapiens			PT0012/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0024/2022|ON649720.1|2022-05-19	ON649720.1	2022-05-19	Portugal		197204	Homo sapiens			PT0024/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0021/2022|ON649721.1|2022-05-19	ON649721.1	2022-05-19	Portugal		197204	Homo sapiens			PT0021/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0022/2022|ON649722.1|2022-05-19	ON649722.1	2022-05-19	Portugal		197204	Homo sapiens			PT0022/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
PT0013/2022|ON649723.1|2022-05-20	ON649723.1	2022-05-20	Portugal		197204	Homo sapiens			PT0013/2022	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.		B.1
